Product Code,Date,Total_Sales,Organic_Sales,Ad_Sales,Total_Traffic,Organic Traffic,Ad traffic,Overall_Units,Organic_Units,Ad_Units,Ad_Impressions,Ad_Spends
B07F5NCTN28,"April 1, 2024","31,500","13,848","11,262","1,548","1,279.55",268.45,90,52,38,"72,433","5,561"
B07R3ZKB7D8,"April 1, 2024","26,680","16,399","6,436",774,677.58,96.42,58,35,23,"24,171","2,186"
B07F5M62172,"April 1, 2024","26,600","9,158","13,452","1,086",822.23,263.77,95,39,56,"41,932","4,935"
B07P8FP14D3,"April 1, 2024","12,780","6,919","5,330",626,492.41,133.59,71,38,33,"26,649","1,089"
B07F5LZHVL1,"April 1, 2024","11,960","10,764",0,154,153.18,0.82,52,52,0,123,5
B07PCPQ57N6,"April 1, 2024","11,520","3,673","6,095",370,279.21,90.79,24,4,20,"14,621","1,304"
B07P6CBN1W6,"April 1, 2024","10,500","6,086","3,154",196,163.76,32.24,28,18,10,"3,017",359
B07R4XJ3HY1,"April 1, 2024","8,400",984,"6,126",128,81.95,46.05,14,-3.5,17.5,"9,844",778
B07MC4NLVL3,"April 1, 2024","10,400","6,656",0,44,41.31,2.69,16,16,0,281,17
B07CGNCPKT6,"April 1, 2024","8,100","-7,670","14,147",192,146.16,45.84,30,-35,65,"13,379",825
B07MC4N1WR6,"April 1, 2024","6,560","2,652","2,924",168,130.27,37.73,41,21,20,"3,668",251
B07MSNKFY56,"April 1, 2024","6,000","4,507",901,139,125.92,13.08,16,13.33,2.67,"3,634",126
B07PBMCH2H1,"April 1, 2024","5,460","1,067","4,162",235,150.33,84.67,13,0,13,"16,917",872
B07F5M3K1Y9,"April 1, 2024","5,760","4,488",632,74,63.74,10.26,32,29.18,2.82,"3,062",98
B07MQ63G912,"April 1, 2024","6,300","5,040",0,73,72.23,0.77,9,9,0,149,2
B07P9K4G8C2,"April 1, 2024","5,170","4,470",447,143,114.93,28.07,11,10,1,"4,339",341
B07MC4N9Z46,"April 1, 2024","5,700","-1,224","5,724",253,167.24,85.76,30,-3,33,"9,770","1,091"
B07P8FN6T23,"April 1, 2024","4,560","3,302",804,189,165.78,23.22,19,15.2,3.8,"4,550",191
B07MQ635T34,"April 1, 2024","4,550","4,095",0,50,50,0,7,7,0,75,0
B009YQB4ZG7,"April 1, 2024","4,400","2,970",990,133,118.41,14.59,8,6,2,"1,667",163
B07R3ZJRTX8,"April 1, 2024","4,050","2,145","1,516",172,156.2,15.8,18,10,8,699,70
B07R4WMZB37,"April 1, 2024","3,645","3,537",0,68,68,0,27,27,0,0,0
B07MQ635T45,"April 1, 2024","4,030","1,438","1,994",135,112.5,22.5,13,6,7,"4,298",337
B07R4VDDG12,"April 1, 2024","4,140","3,420",0,65,58.31,6.69,18,18,0,307,61
B07R4WTRN21,"April 1, 2024","4,840","3,069",0,49,49,0,11,11,0,52,0
B07R3YRKXM3,"April 1, 2024","3,440","2,960",0,22,22,0,16,16,0,20,0
B0823RGLLS2,"April 1, 2024","3,640","1,945",778,79,65.22,13.78,7,5,2,"3,721",141
B07R3ZJHJ37,"April 1, 2024","3,230","2,651",0,36,36,0,19,19,0,180,0
B07PBJNS5X9,"April 1, 2024","3,000",947,"1,693",164,125.37,38.63,12,4.29,7.71,"13,317",968
B07R3ZJTTQ6,"April 1, 2024","3,190","2,420",0,28,28,0,11,11,0,61,0
B009YQC4FK4,"April 1, 2024","2,500","2,150",0,12,12,0,5,5,0,0,0
B07R3ZKHYQ9,"April 1, 2024","2,520","1,828",300,111,104.12,6.88,14,12,2,"1,909",80
B0DNMQVKFL5,"April 1, 2024","3,690","1,344",770,383,367.33,15.67,9,5,4,"9,653",197
B07M7DR8HR2,"April 1, 2024","2,660","2,086",0,79,77.37,1.63,14,14,0,109,5
B07PBLHPN85,"April 1, 2024","1,925","1,619",306,49,48.09,0.91,7,5,2,52,13
B07MQ62Z8H9,"April 1, 2024","2,145","1,815",0,79,79,0,11,11,0,38,0
B07R4W54L84,"April 1, 2024","2,000","1,762",0,82,82,0,20,20,0,0,0
B07R4VLZ379,"April 1, 2024","1,870","1,746",0,70,69.17,0.83,11,11,0,33,2
B07PBJTHK76,"April 1, 2024","2,200","1,682",0,41,41,0,10,10,0,121,0
B07MJBYPSW5,"April 1, 2024","2,100","1,677",0,0,0,0,3,3,0,0,0
B07P8FP3MN7,"April 1, 2024","1,720","1,600",0,13,13,0,4,4,0,19,0
B07R3TV8M37,"April 1, 2024","1,760","1,504",0,71,71,0,8,8,0,0,0
B009YF17KE8,"April 1, 2024","1,500","1,320",0,8,8,0,3,3,0,13,0
B07HKF39CM8,"April 1, 2024","1,500",121,"1,120",7,6.37,0.63,1,0,1,218,6
B07P8FP4MP7,"April 1, 2024","1,290","1,227",0,8,8,0,3,3,0,0,0
B07HZNLDVV8,"April 1, 2024","1,440","1,200",0,11,11,0,4,4,0,0,0
B009XH17FS7,"April 1, 2024","1,400",246,874,41,25.74,15.26,4,1,3,"5,315",302
B07PBKKPWY7,"April 1, 2024","1,170","1,113",0,18,18,0,3,3,0,0,0
B07R4W3SXJ5,"April 1, 2024","1,080",960,0,9,9,0,6,6,0,0,0
B07SD4XCWV5,"April 1, 2024","1,050",913,0,67,58.73,8.27,6,6,0,"1,821",90
B07P8LWZ3L1,"April 1, 2024","1,020",900,0,15,15,0,2,2,0,0,0
B07P8FPC3Y2,"April 1, 2024",980,875,0,7,7,0,7,7,0,0,0
B07R4XRRRN2,"April 1, 2024",810,851,0,17,17,0,6,6,0,32,0
